Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Afghanistan,1.2,0.3,0.3,0.2,0.2,0.8,0.5,0.3,0.6,0.1
 Albania,9.1,8.1,7.5,9.8,8.7,8.7,8.8,7.9,8.0,7.9
 Algeria,1.4,1.3,0.7,0.8,0.7,-0.3,1.0,0.7,0.9,
 Angola,-3.9,-2.7,-1.1,-5.2,2.5,8.6,-0.2,-6.1,-6.4,-4.3
 Antigua and Barbuda,8.4,5.7,10.8,11.4,3.7,8.5,6.8,10.7,8.4,
 Argentina,2.7,2.0,2.8,1.8,1.0,2.0,0.6,1.8,2.3,1.4
 Armenia,5.7,6.4,4.7,3.1,3.5,1.7,3.2,2.2,2.0,1.9
 Australia,3.1,4.7,3.7,3.4,4.3,3.5,3.6,3.6,4.3,2.8
 Austria,-5.6,5.3,1.3,0.1,0.4,-2.1,-7.3,3.2,0.9,2.9
 Azerbaijan,6.3,6.8,7.6,3.5,5.9,7.6,11.9,7.0,3.0,3.1
 Bahamas,8.6,6.6,4.9,3.6,2.3,0.6,3.3,2.5,4.0,
 Bahrain,0.6,2.7,5.0,11.5,4.5,0.2,0.8,1.5,0.3,
 Bangladesh,1.1,1.0,1.2,1.7,1.5,1.5,1.1,0.7,1.1,0.5
 Barbados,9.4,9.9,11.5,2.2,16.0,14.6,11.5,5.7,3.8,
 Belarus,2.4,6.5,2.2,3.0,2.4,2.9,2.6,2.3,2.4,2.0
 Belgium,26.1,31.3,2.4,-5.7,-2.8,-4.2,12.1,-7.2,-10.1,-5.4
 Belize,7.0,6.5,12.8,5.8,8.5,3.4,1.8,1.4,6.4,
 Benin,0.6,1.5,2.5,2.9,3.1,1.2,1.1,1.1,1.0,
 Bhutan,4.9,1.8,1.4,1.2,1.2,0.3,0.6,-0.7,0.1,
 Bolivia,3.2,3.6,3.9,5.7,2.0,1.7,1.0,1.9,0.8,-0.4
 Bosnia and Herzegovina,2.6,2.5,2.3,1.7,2.9,2.4,1.9,2.6,2.4,2.6
 Botswana,1.7,1.9,1.1,0.5,3.2,2.6,0.8,1.0,1.2,
 Brazil,3.7,3.9,3.8,3.0,3.6,3.6,4.1,3.3,4.1,4.3
 Brunei Darussalam,3.5,3.7,4.5,4.3,3.3,1.3,-1.3,3.9,3.8,2.8
 Bulgaria,3.7,3.7,3.3,3.6,1.9,4.3,2.7,3.4,1.8,2.2
 Burkina Faso,0.4,1.2,2.6,3.6,2.6,2.0,3.0,0.0,1.7,
 Burundi,0.0,0.1,0.0,4.8,3.0,1.6,0.0,0.0,0.0,
 Cabo Verde,7.0,5.5,7.3,4.8,9.7,6.0,7.6,6.3,5.5,5.3
 Cambodia,12.5,12.0,14.1,13.6,11.1,10.1,12.4,12.6,13.1,13.7
 Cameroon,2.0,2.2,1.8,1.7,2.1,2.2,2.0,2.3,2.0,
 Canada,1.8,2.1,2.7,3.6,3.6,3.9,2.2,1.8,2.7,2.6
 Central African Republic,2.9,1.5,2.8,0.1,0.2,0.2,0.4,0.3,0.8,
 Chad,2.9,2.3,4.7,4.0,-4.8,5.1,2.4,3.4,5.9,
 Chile,7.3,9.6,11.3,7.5,9.1,8.6,4.8,2.1,2.0,
 China,4.0,3.7,2.8,3.0,2.6,2.2,1.6,1.3,1.7,1.1
 Colombia,2.2,4.4,4.1,4.2,4.2,4.0,4.9,4.4,3.5,4.5
 Comoros,0.9,2.3,1.0,0.4,0.4,0.5,0.4,0.4,0.6,
 Congo,12.7,2.1,-0.5,13.3,20.3,50.0,0.6,48.8,37.0,
 Congo Democratic Republic,12.7,6.2,9.9,5.2,4.2,3.1,2.5,2.8,2.7,
 Costa Rica,5.1,6.5,5.8,6.4,6.4,5.4,4.6,4.9,4.6,4.1
 Croatia,2.6,2.0,2.6,1.6,5.5,0.1,0.8,0.9,2.0,1.9
 Cyprus,120.6,146.7,280.1,108.6,223.7,146.4,40.7,81.1,20.9,97.1
 Czechia,4.9,1.8,4.5,3.5,3.9,0.9,5.6,5.2,3.4,3.8
 Côte d'Ivoire,1.4,1.2,1.2,1.3,1.2,1.1,1.2,1.9,1.1,
 Denmark,-3.7,3.9,-5.0,0.2,1.9,0.6,2.5,1.0,0.3,-1.9
 Djibouti,3.2,6.4,8.1,14.0,6.9,5.9,6.1,6.0,5.6,
 Dominica,4.9,2.8,4.8,3.6,2.8,2.0,7.1,4.6,2.4,
 Dominican Republic,3.4,3.8,5.6,2.6,3.6,3.1,3.3,4.5,3.2,3.2
 Ecuador,0.2,0.8,0.6,0.8,0.8,1.3,0.8,0.6,1.4,0.9
 Egypt,2.9,-0.2,1.0,1.5,1.5,2.1,2.4,3.1,3.2,3.0
 El Salvador,-0.6,0.6,2.0,1.1,2.2,2.1,2.0,2.0,1.6,2.7
 Equatorial Guinea,16.8,9.2,4.4,2.7,0.8,1.8,0.5,2.5,3.0,
 Eritrea,5.7,1.9,,,,,,,,
 Estonia,13.2,4.8,7.7,4.3,6.7,-3.1,3.9,6.3,3.8,9.2
 Eswatini,3.1,2.0,0.5,1.8,0.6,0.8,0.7,-1.3,0.7,2.9
 Ethiopia,1.0,2.0,0.6,2.8,3.3,4.1,5.6,4.9,4.0,
 Fiji,5.7,5.8,7.0,5.8,7.8,4.4,7.9,7.2,8.5,5.8
 Finland,4.9,-2.2,1.9,-1.8,6.3,7.2,2.0,6.4,-3.8,3.1
 France,1.5,1.5,1.2,1.1,0.2,1.8,1.3,1.4,2.1,2.5
 Gabon,3.6,6.2,3.9,1.8,6.9,0.3,8.8,10.0,5.0,
 Gambia,2.4,2.6,2.9,5.0,1.9,-0.1,-0.1,0.4,2.0,
 Georgia,7.5,7.7,5.9,6.1,10.4,11.6,10.9,11.7,6.9,7.2
 Germany,2.5,2.6,1.9,1.8,0.5,1.9,1.9,3.2,4.3,1.3
 Ghana,7.8,8.3,8.0,5.2,6.3,6.6,6.3,5.5,4.6,
 Greece,0.2,0.4,0.7,1.2,1.1,0.6,1.4,1.7,1.8,2.2
 Grenada,7.8,5.5,3.9,8.9,11.4,15.4,10.7,12.3,13.2,
 Guatemala,2.7,1.8,2.8,2.9,2.4,1.9,1.3,1.4,1.3,1.3
 Guinea,1.5,14.1,7.9,0.0,-0.8,0.6,18.8,5.6,2.9,
 Guinea Bissau,3.1,2.3,0.7,1.9,2.7,1.8,1.2,1.2,1.4,
 Guyana,8.7,9.6,9.7,6.7,7.7,4.3,4.6,9.2,30.4,
 Haiti,2.7,1.6,2.0,1.9,1.1,1.2,1.3,4.5,1.1,
 Honduras,3.8,5.9,5.8,5.8,8.6,6.3,5.3,4.1,6.0,3.8
 Hong Kong,36.2,38.7,28.5,27.9,44.6,58.5,41.5,36.8,26.8,14.5
 Hungary,-15.8,7.6,8.4,-2.6,9.3,-4.2,54.6,-8.6,-41.5,3.8
 Iceland,1.9,7.3,7.0,2.9,4.3,6.6,-5.2,-28.6,-2.4,-1.8
 India,1.6,2.0,1.3,1.5,1.7,2.1,1.9,1.5,1.6,1.8
 Indonesia,2.0,2.3,2.3,2.6,2.8,2.3,0.5,2.0,1.8,2.2
 Iran,0.8,0.7,0.8,0.7,0.5,0.5,0.8,1.1,,
 Iraq,1.0,1.1,1.6,-1.0,-4.3,-4.3,-3.6,-2.6,-2.2,-1.3
 Ireland,17.0,10.0,18.2,20.9,33.6,80.8,26.4,17.4,16.9,-20.4
 Israel,3.0,3.3,3.5,4.0,2.0,3.8,3.8,5.1,5.6,4.6
 Italy,0.5,1.5,0.0,0.9,0.8,0.7,1.4,0.6,1.9,1.5
 Jamaica,1.4,1.2,2.8,3.8,4.2,6.5,6.6,6.0,4.9,
 Japan,0.1,0.0,0.0,0.2,0.4,0.1,0.8,0.4,0.5,0.7
 Jordan,6.3,5.1,4.9,5.7,6.0,4.2,4.0,5.0,2.2,
 Kazakhstan,5.0,7.1,6.6,4.2,3.3,3.6,12.5,2.8,0.1,2.0
 Kenya,0.4,3.5,2.7,2.0,1.3,1.0,0.6,0.8,1.9,
 Kiribati,-4.2,-0.2,-1.3,0.5,1.5,-0.5,1.0,0.4,-0.6,
South Korea,0.8,0.8,0.7,0.9,0.6,0.3,0.8,1.1,0.7,0.6
 Kuwait,1.1,2.1,1.6,0.8,0.3,0.2,0.3,0.1,0.0,
 Kyrgyzstan,9.9,11.1,4.0,8.3,4.6,17.1,9.1,-1.4,1.7,
 Lao,3.9,3.4,6.1,5.7,6.5,7.5,5.9,10.0,7.3,
 Latvia,2.0,5.3,3.8,3.3,3.3,3.0,1.2,3.8,1.3,2.6
 Lebanon,11.1,7.9,7.1,5.7,5.9,4.3,5.0,4.7,4.8,
 Lesotho,0.4,2.3,2.2,2.1,3.8,8.7,7.4,5.1,5.0,4.8
 Liberia,103.3,87.0,84.9,65.2,16.0,7.3,9.5,7.5,4.0,
 Libya,2.4,0.0,1.7,1.1,0.0,0.0,0.0,0.0,0.0,
 Liechtenstein,587.8,460.2,540.4,18.1,140.3,1282.6,972.7,595.2,,
 Lithuania,3.0,4.3,1.6,1.5,0.7,2.5,2.2,2.5,1.6,2.5
 Luxembourg,73.5,14.7,45.0,25.9,28.5,21.6,52.5,-10.6,-7.9,
 Madagascar,9.1,7.1,7.0,4.6,4.4,2.9,4.6,3.5,4.4,
 Malawi,1.4,10.2,-0.1,8.2,9.9,8.1,2.1,1.4,1.5,
 Malaysia,4.3,5.1,2.8,3.5,3.1,3.3,4.5,2.9,2.4,
 Maldives,8.4,15.3,7.9,10.9,9.0,7.3,10.4,9.7,10.1,
 Mali,3.5,4.3,3.2,2.3,1.0,2.1,2.5,3.6,2.7,
 Malta,105.7,82.0,36.1,5.0,1.4,34.1,27.5,31.2,32.5,30.3
 Marshall Islands,-5.8,-2.5,11.7,17.3,4.9,-2.9,-1.5,2.7,4.4,
 Mauritania,2.3,8.7,20.6,15.6,7.6,8.1,4.2,8.7,1.0,
 Mauritius,4.3,3.8,5.0,2.4,3.6,1.9,3.1,3.3,2.6,
 Mexico,2.0,2.1,1.5,3.7,2.3,3.0,3.5,2.8,3.2,2.3
 Micronesia,0.0,0.0,0.0,0.0,6.3,,,,,
 Moldova,4.2,4.3,2.9,2.5,3.6,2.9,1.1,1.6,2.7,5.0
 Mongolia,23.5,43.9,34.8,16.4,2.8,0.8,-37.2,13.1,14.9,17.6
 Montenegro,18.3,12.3,15.1,10.0,10.8,17.3,5.2,11.5,8.8,8.3
 Morocco,1.3,2.5,2.9,3.1,3.2,3.2,2.1,2.4,3.0,1.3
 Mozambique,11.3,25.5,34.5,39.5,28.2,24.3,26.2,17.5,18.2,
 Myanmar,1.8,4.2,2.2,3.7,3.3,6.0,4.9,5.8,1.7,
 Namibia,2.6,6.5,8.0,6.5,3.6,7.2,3.5,2.9,1.4,-0.1
 Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
 Nepal,0.5,0.5,0.5,0.4,0.2,0.2,0.5,0.8,0.2,
 Netherlands,13.7,36.7,28.6,37.5,13.2,41.9,30.8,11.5,-26.2,3.1
 New Zealand,0.2,0.8,2.2,0.0,1.6,0.0,1.0,1.0,1.0,1.9
 Nicaragua,5.6,9.6,7.3,7.4,7.4,7.4,6.8,5.6,2.8,
 Niger,10.2,12.3,9.0,7.1,7.6,5.5,2.9,3.0,3.6,
 Nigeria,1.7,2.2,1.5,1.1,0.8,0.6,1.1,0.9,0.5,
 North Macedonia,3.2,4.8,3.5,3.7,0.5,2.9,5.1,3.4,5.1,3.8
 Norway,5.0,2.1,5.5,-0.3,0.7,1.9,-5.1,1.5,-1.5,0.4
 Oman,2.2,2.4,1.8,2.0,1.6,-3.2,3.5,4.1,8.0,
 Pakistan,1.1,0.6,0.4,0.6,0.8,0.6,0.9,0.8,0.6,0.8
 Palau,1.5,4.3,10.3,8.1,16.4,12.3,11.7,9.6,7.6,
 Palestine,2.0,2.3,0.6,1.5,1.3,0.8,2.2,1.4,1.8,
 Panama,8.7,12.7,8.4,8.3,10.0,9.5,9.1,6.4,9.1,9.1
 Papua New Guinea,0.3,0.2,0.1,0.1,0.1,1.0,0.1,0.7,4.8,
 Paraguay,2.0,1.4,2.2,0.8,1.4,1.3,1.4,1.5,1.0,1.0
 Peru,5.7,4.5,7.1,4.9,2.0,4.4,3.5,3.3,2.9,
 Philippines,0.5,0.9,1.2,1.3,1.9,1.8,2.6,3.1,2.9,2.0
 Poland,3.8,3.5,1.5,0.2,3.6,3.2,3.9,2.2,2.8,2.5
 Portugal,3.8,4.0,9.9,7.0,5.2,0.6,3.6,4.8,3.2,3.5
 Qatar,3.7,0.6,0.2,-0.4,0.5,0.7,0.5,0.6,-1.1,-1.5
 Romania,1.9,1.3,1.8,2.0,1.9,2.4,3.3,2.8,3.0,2.8
 Russian,2.8,2.7,2.3,3.0,1.1,0.5,2.5,1.8,0.5,1.9
 Rwanda,4.1,1.7,3.3,3.3,3.8,2.6,3.0,2.9,3.1,
 Saint Kitts and Nevis,15.3,13.4,11.5,13.2,17.1,14.0,12.0,4.0,9.3,
 Saint Lucia,8.2,6.1,4.7,5.0,3.6,8.5,7.7,1.9,1.9,
 Saint Vincent and the Grenadines,14.3,12.7,16.7,17.6,16.9,15.8,10.2,19.3,13.6,
 Samoa,-0.2,1.2,2.7,1.8,3.0,3.4,0.3,1.1,2.0,
 San Marino,,,,,,,,,,
 Sao Tome and Principe,25.6,13.8,8.9,4.0,7.6,8.8,6.7,9.1,5.6,
 Saudi Arabia,5.5,2.4,1.7,1.2,1.1,1.2,1.2,0.2,0.5,0.6
 Senegal,1.7,1.9,1.5,1.6,2.0,2.3,2.5,2.8,3.6,
 Serbia,4.0,10.0,2.9,4.3,4.2,5.9,5.8,6.6,8.0,8.3
 Seychelles,16.5,13.4,57.8,4.3,8.1,7.7,2.9,8.2,19.4,13.9
 Sierra Leone,9.2,32.3,19.0,8.7,7.5,6.0,3.8,5.3,5.3,
 Singapore,23.1,17.6,18.7,20.9,21.8,22.7,22.2,28.6,24.4,28.3
 Slovakia,2.3,5.5,1.9,1.0,-0.4,1.7,5.3,4.4,2.4,2.2
 Slovenia,0.7,1.7,0.1,0.2,2.0,4.0,3.2,2.5,2.8,2.6
 Solomon Islands,24.4,12.9,2.2,4.7,1.8,2.8,3.0,3.3,1.8,2.1
 Somalia,,,,,,,,,,
 South Africa,1.0,1.0,1.2,2.2,1.7,0.5,0.7,0.6,1.5,1.3
 South Sudan,,,1.3,-4.3,0.0,0.0,,,,
 Spain,2.6,1.8,1.6,3.5,2.4,1.9,3.6,1.9,3.5,1.3
 Sri Lanka,0.8,1.5,1.4,1.3,1.1,0.8,1.1,1.6,1.8,
 Sudan,3.3,3.0,4.4,2.9,1.9,2.3,2.1,2.3,4.4,
