Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Afghanistan,2094,2038,2220,2264,2249,2213,2201,2203,2190,2202
 Albania,10973,11283,11462,11598,11828,12126,12548,13037,13601,13962
 Algeria,10796,10902,11055,11139,11329,11511,11638,11551,11479,11350
 Angola,7692,7675,8037,8141,8240,8036,7569,7311,6934,6654
 Antigua and Barbuda,18206,17604,17966,17642,18104,18595,19418,19840,21116,21908
 Argentina,23521,24648,24119,24424,23550,23934,23190,23563,22746,22034
 Armenia,9286,9725,10398,10691,11020,11321,11303,12115,12715,13654
 Australia,45354,45830,46802,47192,47671,48020,48586,48905,49576,49756
 Austria,52129,53472,53591,53289,53224,53165,53688,54637,55687,56352
 Azerbaijan,14313,13905,14024,14653,14876,14854,14239,14121,14210,14404
 Bahamas,37040,36787,37504,36042,35968,35837,35642,35308,35501,35783
 Bahrain,44615,44172,45051,46946,48217,48304,48091,47642,46242,45026
 Bangladesh,2883,3035,3196,3349,3512,3700,3920,4161,4441,4754
 Barbados,15597,15445,15336,15088,15042,15383,15738,15789,15675,15639
 Belarus,17288,18252,18577,18760,19067,18308,17823,18280,18885,19150
 Belgium,48011,48193,48249,48243,48787,49492,49970,50725,51246,51708
 Belize,7209,7174,7179,7110,7209,7259,7118,7109,7119,7005
 Benin,2705,2708,2760,2877,2976,2946,2961,3045,3161,3287
 Bhutan,8191,8745,9084,9164,9574,10086,10775,11142,11345,11345
 Bolivia,6613,6845,7081,7444,7731,7984,8203,8424,8656,8724
 Bosnia and Herzegovina,11072,11308,11404,11877,12222,12794,13364,13788,14420,14895
 Botswana,14126,14770,15246,16786,17264,16714,17117,17253,17634,17766
 Brazil,14868,15318,15474,15800,15744,15059,14446,14520,14596,14652
 Brunei Darussalam,67751,69389,69092,66715,64192,63149,60866,60996,60389,62100
 Bulgaria,17421,17946,18115,18275,18727,19599,20489,21363,22181,23091
 Burkina Faso,1725,1785,1844,1893,1917,1935,1991,2054,2132,2190
 Burundi,846,853,863,877,886,825,795,774,762,752
 Cabo Verde,6200,6366,6354,6323,6282,6267,6483,6643,6864,7172
 Cambodia,2717,2863,3023,3192,3364,3544,3734,3928,4159,4389
 Cameroon,3086,3127,3181,3263,3363,3459,3524,3555,3604,3653
 Canada,45096,46062,46367,46949,47813,47770,47706,48634,48924,49031
