Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 Afghanistan,,,,0.4,0.5,0.4,0.3,0.6,1.6,1.9,3.3,4.7,4.9,
 Albania,6.2,8.2,6.2,6.7,7.1,10.3,11.8,14.2,13.6,17.6,33.5,15.2,11.1,20.7
 Algeria,11.9,22.5,2.0,1.4,2.0,1.0,0.8,1.1,0.7,0.4,1.7,1.0,0.6,0.5
 Angola,10.8,13.2,9.9,2.5,9.7,5.7,5.8,8.4,9.6,14.1,22.7,33.6,25.6,21.9
 Argentina,19.7,31.5,12.1,11.0,21.2,18.6,15.7,14.1,17.1,20.2,24.7,34.9,51.6,45.0
 Armenia,7.3,6.7,6.7,12.0,17.4,29.7,24.6,29.2,46.4,31.7,38.4,33.9,27.1,29.9
 Azerbaijan,2.9,2.0,1.2,1.0,1.6,1.4,2.9,3.4,5.3,5.5,9.0,9.5,10.8,10.5
 Bangladesh,7.6,5.5,7.0,5.3,6.0,5.2,6.0,5.9,6.0,6.0,4.7,4.7,5.5,6.3
 Belarus,4.0,3.5,4.1,3.8,6.8,5.9,6.9,9.5,10.4,12.1,14.9,20.3,11.8,13.5
 Belize,36.8,17.6,79.0,16.9,17.1,15.2,13.8,14.9,12.8,8.4,9.1,10.1,9.7,10.1
 Benin,6.0,4.2,2.6,3.6,2.8,2.5,2.8,2.9,3.1,2.5,3.6,4.2,4.0,7.8
 Bhutan,,2.8,4.8,11.9,12.7,14.4,11.2,18.3,11.5,12.2,17.2,16.6,11.1,10.7
 Bolivia,15.7,9.7,14.0,12.9,10.3,9.5,4.8,5.2,4.3,7.0,9.9,9.2,10.0,9.6
 Bosnia and Herzegovina,7.3,7.4,8.0,7.4,8.8,10.0,12.2,17.1,16.0,21.3,12.4,16.4,11.6,10.8
 Botswana,0.9,1.0,0.7,1.2,1.0,1.4,1.1,0.8,2.1,0.7,3.3,2.0,2.4,2.4
 Brazil,46.2,38.2,28.1,23.5,23.5,18.4,18.7,15.7,28.0,22.9,39.7,51.0,34.7,31.7
 Bulgaria,25.3,17.0,22.6,17.7,20.0,16.1,12.8,13.9,16.7,14.0,28.6,23.0,21.3,15.3
 Burkina Faso,7.9,6.1,5.2,3.9,3.8,2.5,2.3,2.1,2.4,2.8,3.9,3.5,3.5,
 Burundi,40.5,20.4,18.5,12.0,16.6,2.4,4.2,8.9,13.8,13.9,13.9,16.0,14.0,
 Cabo Verde,9.6,6.4,5.0,4.3,5.7,5.6,4.9,4.6,4.6,4.8,6.3,6.0,6.0,5.6
